"nut","Plot","type","val","extract"
"Calcium",186,"gm2_2017_0.20cm",155.31,"aa"
"Calcium",190,"gm2_2017_0.20cm",119.56,"aa"
"Calcium",193,"gm2_2017_0.20cm",170.11,"aa"
"Calcium",197,"gm2_2017_0.20cm",123.87,"aa"
"Calcium",199,"gm2_2017_0.20cm",178.03,"aa"
"Calcium",201,"gm2_2017_0.20cm",184.77,"aa"
"Calcium",202,"gm2_2017_0.20cm",244.28,"aa"
"Calcium",205,"gm2_2017_0.20cm",156.55,"aa"
"Calcium",206,"gm2_2017_0.20cm",158.82,"aa"
"Calcium",208,"gm2_2017_0.20cm",184.52,"aa"
"Calcium",210,"gm2_2017_0.20cm",179.54,"aa"
"Calcium",211,"gm2_2017_0.20cm",133.75,"aa"
"Calcium",213,"gm2_2017_0.20cm",112.49,"aa"
"Calcium",220,"gm2_2017_0.20cm",115.22,"aa"
"Calcium",223,"gm2_2017_0.20cm",122.28,"aa"
"Calcium",224,"gm2_2017_0.20cm",99.64,"aa"
"Calcium",225,"gm2_2017_0.20cm",133.76,"aa"
"Calcium",227,"gm2_2017_0.20cm",147.92,"aa"
"Calcium",229,"gm2_2017_0.20cm",113.76,"aa"
"Calcium",230,"gm2_2017_0.20cm",103.22,"aa"
"Calcium",232,"gm2_2017_0.20cm",208.36,"aa"
"Calcium",233,"gm2_2017_0.20cm",145.13,"aa"
"Calcium",234,"gm2_2017_0.20cm",161.84,"aa"
"Calcium",235,"gm2_2017_0.20cm",156.84,"aa"
"Calcium",236,"gm2_2017_0.20cm",104.43,"aa"
"Calcium",237,"gm2_2017_0.20cm",121.25,"aa"
"Calcium",239,"gm2_2017_0.20cm",179.22,"aa"
"Calcium",242,"gm2_2017_0.20cm",138.3,"aa"
"Calcium",253,"gm2_2017_0.20cm",166.36,"aa"
"Calcium",257,"gm2_2017_0.20cm",185.07,"aa"
"Calcium",259,"gm2_2017_0.20cm",112.93,"aa"
"Calcium",265,"gm2_2017_0.20cm",160.41,"aa"
"Calcium",266,"gm2_2017_0.20cm",130.82,"aa"
"Calcium",267,"gm2_2017_0.20cm",130.9,"aa"
"Calcium",268,"gm2_2017_0.20cm",158,"aa"
"Calcium",273,"gm2_2017_0.20cm",250.79,"aa"
"Calcium",278,"gm2_2017_0.20cm",131.1,"aa"
"Calcium",280,"gm2_2017_0.20cm",121.64,"aa"
"Calcium",282,"gm2_2017_0.20cm",109.68,"aa"
"Calcium",283,"gm2_2017_0.20cm",111.53,"aa"
"Calcium",286,"gm2_2017_0.20cm",117.2,"aa"
"Calcium",287,"gm2_2017_0.20cm",102.94,"aa"
"Calcium",290,"gm2_2017_0.20cm",102.01,"aa"
"Calcium",291,"gm2_2017_0.20cm",93.25,"aa"
"Calcium",292,"gm2_2017_0.20cm",171.94,"aa"
"Calcium",293,"gm2_2017_0.20cm",178.93,"aa"
"Calcium",299,"gm2_2017_0.20cm",145.01,"aa"
"Calcium",300,"gm2_2017_0.20cm",151.44,"aa"
"Calcium",301,"gm2_2017_0.20cm",145.68,"aa"
"Calcium",302,"gm2_2017_0.20cm",175.44,"aa"
"Calcium",303,"gm2_2017_0.20cm",168.26,"aa"
"Calcium",304,"gm2_2017_0.20cm",131.09,"aa"
"Calcium",307,"gm2_2017_0.20cm",184.87,"aa"
"Calcium",308,"gm2_2017_0.20cm",138.23,"aa"
"Calcium",311,"gm2_2017_0.20cm",129.23,"aa"
"Calcium",313,"gm2_2017_0.20cm",149.3,"aa"
"Calcium",318,"gm2_2017_0.20cm",152.77,"aa"
"Calcium",324,"gm2_2017_0.20cm",129.6,"aa"
"Calcium",325,"gm2_2017_0.20cm",159.4,"aa"
