"Plot","NumSp","nut","type","val.g","mono","diff"
81,8,"Nitrogen","Abv",2.52,1.2978125,94.1728870695882
81,8,"Potassium","Abv",2.3,0.8584375,167.928649435748
81,8,"Magnesium","Abv",0.7,0.3021875,131.644260599793
81,8,"Calcium","Abv",2.66,1.108125,140.045121263395
81,8,"Nitrogen","Root.0.30cm",8.03,4.388125,82.9938755163082
81,8,"Potassium","Root.0.30cm",3.41,1.6984375,100.772769089236
81,8,"Magnesium","Root.0.30cm",1.31,0.9275,41.2398921832884
81,8,"Calcium","Root.0.30cm",8.94,4.1471875,115.567779368548
82,16,"Nitrogen","Abv",2.95,1.2978125,127.305562244161
82,16,"Potassium","Abv",3.81,0.8584375,343.829632326174
82,16,"Magnesium","Abv",0.68,0.3021875,125.025853154085
82,16,"Calcium","Abv",2.9,1.108125,161.703327693175
82,16,"Nitrogen","Root.0.30cm",4.47,4.388125,1.86583107819399
82,16,"Potassium","Root.0.30cm",2.47,1.6984375,45.4277828886845
82,16,"Magnesium","Root.0.30cm",0.8,0.9275,-13.7466307277628
82,16,"Calcium","Root.0.30cm",4.63,4.1471875,11.641926004069
83,1,"Nitrogen","Abv",1.68,1.2978125,29.4485913797255
83,1,"Potassium","Abv",1.05,0.8584375,22.3152530032763
83,1,"Magnesium","Abv",0.42,0.3021875,38.9865563598759
83,1,"Calcium","Abv",0.88,1.108125,-20.5865764241399
83,1,"Nitrogen","Root.0.30cm",2.97,4.388125,-32.3173337131463
83,1,"Potassium","Root.0.30cm",0.71,1.6984375,-58.196872125115
83,1,"Magnesium","Root.0.30cm",0.45,0.9275,-51.4824797843666
83,1,"Calcium","Root.0.30cm",2.27,4.1471875,-45.2641097129078
87,1,"Nitrogen","Abv",0.54,1.2978125,-58.3915241993739
87,1,"Potassium","Abv",0.35,0.8584375,-59.2282489989079
87,1,"Magnesium","Abv",0.1,0.3021875,-66.9079627714581
87,1,"Calcium","Abv",0.31,1.108125,-72.0248166948675
87,1,"Nitrogen","Root.0.30cm",1.97,4.388125,-55.1061102407064
87,1,"Potassium","Root.0.30cm",1.03,1.6984375,-39.3560257589696
87,1,"Magnesium","Root.0.30cm",0.43,0.9275,-53.6388140161725
